pd,race_eth,age,male,dismissal,st_id,loc2
las,Hispanic,26,1,0,120,nassau ave g line
las,Black,33,1,0,106,kingston - throop avs
las,Hispanic,27,1,0,112,broadway and lorimer st j m station
las,Black,25,1,0,54,canarsie rockaway pkwy
las,Black,26,1,0,150,utica ave and fulton st
las,Black,16,1,NA,99,jay st - metrotech
las,Black,23,1,1,131,nostrand ave and fulton st a c station
las,Black,21,0,1,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,26,0,1,66,coney island-stillwell ave
las,Black,17,1,0,97,hoyt st 2 3
las,Non-Hispanic White,17,1,1,102,kings highway b q line
las,Black,16,1,1,101,junius st 3 line
las,NA,20,0,1,147,sutter avenue station l line
las,Black,24,1,1,116,morgan ave l station
las,NA,23,1,1,72,dekalb ave b q r line
las,Black,17,0,1,66,coney island-stillwell ave
las,Black,30,1,0,45,bedford - nostrand avs g line
las,Black,26,1,NA,131,nostrand ave and fulton st a c station
las,Black,58,1,1,156,winthrop street station 2 5 line
las,Black,19,1,1,124,747 new lots ave
las,Black,24,0,1,99,jay st - metrotech
las,Black,22,1,1,124,747 new lots ave
las,Non-Hispanic White,22,1,NA,99,jay st - metrotech
las,Black,18,1,0,66,coney island-stillwell ave
las,Black,24,1,1,117,myrtle av and broadway station
las,Black,28,1,1,93,halsey street j subway
las,Black,50,1,0,140,rockaway ave 3 line
las,Non-Hispanic White,27,1,0,80,flushing ave j line m line station
las,Black,31,1,1,106,kingston - throop avs
las,NA,17,1,1,24,9 ave and new utrecht ave
las,Black,23,1,1,88,graham ave l line
las,Black,21,1,1,117,myrtle av and broadway station
las,Black,49,1,0,54,canarsie rockaway pkwy
las,Hispanic,24,1,1,99,jay st - metrotech
las,Black,20,1,1,111,livonia ave l line
las,Black,44,1,1,106,kingston - throop avs
las,Non-Hispanic White,37,1,0,99,jay st - metrotech
las,Non-Hispanic White,37,1,0,99,jay st - metrotech
las,Black,21,1,1,102,kings highway b q line
las,Black,41,1,0,150,utica ave and fulton st
las,Black,30,1,1,57,chauncey st j subway z subway
las,Asian/Pacific Islander,32,1,0,99,jay st - metrotech
las,Black,19,0,1,150,utica ave and fulton st
las,Non-Hispanic White,39,1,1,118,myrtle - willoughby avs g line
las,Black,18,1,1,124,747 new lots ave
las,Black,17,1,1,66,coney island-stillwell ave
las,Black,16,1,1,114,marcy ave j m z line
las,Non-Hispanic White,19,1,1,114,marcy ave j m z line
las,Black,22,1,0,124,747 new lots ave
las,Black,47,1,0,80,flushing ave j line m line station
las,Black,57,1,0,99,jay st - metrotech
las,Black,16,1,1,125,new lots ave l line
las,Hispanic,18,1,0,57,chauncey st j subway z subway
las,Black,43,1,1,118,myrtle - willoughby avs g line
las,Non-Hispanic White,38,1,0,118,myrtle - willoughby avs g line
las,Black,18,0,1,150,utica ave and fulton st
las,Black,19,1,0,66,coney island-stillwell ave
las,Black,17,1,NA,54,canarsie rockaway pkwy
las,Black,22,1,NA,28,avenue h q subway
las,Black,29,1,0,30,avenue j station q line
las,Non-Hispanic White,24,1,1,76,eastern pkwy-brooklyn museum 2 subway 3 subway
las,Black,17,1,1,148,sutter av - rutland rd 3 line
las,Black,46,1,NA,66,coney island-stillwell ave
las,Black,38,0,0,117,myrtle av and broadway station
las,Black,44,1,0,117,myrtle av and broadway station
las,Non-Hispanic White,18,1,0,57,chauncey st j subway z subway
las,Black,21,1,1,101,junius st 3 line
las,Non-Hispanic White,19,1,1,66,coney island-stillwell ave
las,Black,27,1,0,106,kingston - throop avs
las,Black,25,1,0,117,myrtle av and broadway station
las,Black,20,1,1,131,nostrand ave and fulton st a c station
las,Non-Hispanic White,17,1,1,52,broadway junction station
las,Hispanic,21,1,0,100,jefferson st l line station
las,Non-Hispanic White,22,1,1,100,jefferson st l line station
las,Black,23,1,0,57,chauncey st j subway z subway
las,Non-Hispanic White,29,1,0,100,jefferson st l line station
las,NA,40,1,1,85,franklin ave c subway s subway
las,Hispanic,24,0,1,126,new utrecht av n subway/62 st d subway
las,Non-Hispanic White,33,1,1,112,broadway and lorimer st j m station
las,NA,28,0,1,108,kosciuszko st j subway
las,Black,26,1,1,97,hoyt st 2 3
las,Non-Hispanic White,26,1,0,5,20th ave and 86th st
las,Black,19,1,NA,91,grant ave a line
las,Black,18,1,1,111,livonia ave l line
las,Black,20,1,1,99,jay st - metrotech
las,Hispanic,29,1,1,117,myrtle av and broadway station
las,Black,57,1,0,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,25,1,1,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,31,1,0,88,graham ave l line
las,Black,26,0,1,148,sutter av - rutland rd 3 line
las,Black,23,1,1,144,shepherd ave c line
las,Black,50,1,0,147,sutter avenue station l line
las,Black,22,1,0,66,coney island-stillwell ave
las,Non-Hispanic White,46,1,NA,114,marcy ave j m z line
las,Non-Hispanic White,17,1,0,106,kingston - throop avs
las,Black,23,1,1,64,clinton - washington avs station
las,Non-Hispanic White,24,1,0,66,coney island-stillwell ave
las,Black,20,1,1,54,canarsie rockaway pkwy
las,Black,24,1,0,150,utica ave and fulton st
las,Black,45,1,0,148,sutter av - rutland rd 3 line
las,Non-Hispanic White,26,1,1,75,e. 105 st l line
las,Black,20,1,0,144,shepherd ave c line
las,Black,66,1,1,85,franklin ave c subway s subway
las,Black,44,1,NA,77,euclid av a subway a subway
las,Hispanic,47,1,0,26,atlantic ave l line
las,Black,27,1,0,101,junius st 3 line
las,Hispanic,19,1,1,24,9 ave and new utrecht ave
las,Black,35,1,1,66,coney island-stillwell ave
las,Non-Hispanic White,44,1,0,54,canarsie rockaway pkwy
las,Black,45,1,1,117,myrtle av and broadway station
las,Hispanic,40,1,0,26,atlantic ave l line
las,Non-Hispanic White,23,1,NA,114,marcy ave j m z line
las,Black,18,1,1,124,747 new lots ave
las,Black,16,1,0,151,van siclen av 3 line
las,Black,31,1,1,139,fulton st and ralph ave
las,Non-Hispanic White,28,1,1,116,morgan ave l station
las,Non-Hispanic White,37,1,1,114,marcy ave j m z line
las,Black,47,1,0,87,gates av j subway z subway
las,Black,25,1,0,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Non-Hispanic White,28,1,1,101,junius st 3 line
las,Non-Hispanic White,21,1,0,147,sutter avenue station l line
las,Black,37,1,1,131,nostrand ave and fulton st a c station
las,Hispanic,16,1,1,97,hoyt st 2 3
las,Black,24,1,0,64,clinton - washington avs station
las,Black,18,1,1,151,van siclen av 3 line
las,Non-Hispanic White,31,1,1,66,coney island-stillwell ave
las,Black,21,1,1,54,canarsie rockaway pkwy
las,Black,18,1,1,111,livonia ave l line
las,Hispanic,23,1,0,124,747 new lots ave
las,NA,36,1,1,25,alabama av j subway
las,Hispanic,28,1,1,66,coney island-stillwell ave
las,Black,19,1,1,131,nostrand ave and fulton st a c station
las,Black,18,1,1,150,utica ave and fulton st
las,Non-Hispanic White,32,1,1,106,kingston - throop avs
las,Black,30,1,0,116,morgan ave l station
las,Non-Hispanic White,27,1,0,112,broadway and lorimer st j m station
las,Non-Hispanic White,34,0,0,80,flushing ave j line m line station
las,Black,32,1,0,50,brighton beach b subway q subway
las,Non-Hispanic White,26,1,1,113,metropolitan and lorimer g l station
las,Hispanic,30,1,0,66,coney island-stillwell ave
las,Black,19,1,1,124,747 new lots ave
las,Black,16,1,1,111,livonia ave l line
las,Black,23,1,0,54,canarsie rockaway pkwy
las,Black,23,1,1,66,coney island-stillwell ave
las,Black,30,0,1,66,coney island-stillwell ave
las,Non-Hispanic White,29,1,1,73,dekalb l station
las,Black,19,1,1,139,fulton st and ralph ave
las,Black,21,1,1,112,broadway and lorimer st j m station
las,Black,54,1,0,148,sutter av - rutland rd 3 line
las,Non-Hispanic White,31,1,1,100,jefferson st l line station
las,Black,21,1,1,66,coney island-stillwell ave
las,Black,23,1,1,66,coney island-stillwell ave
las,Black,25,1,0,88,graham ave l line
las,Hispanic,17,1,1,88,graham ave l line
las,Black,22,1,1,65,clinton ave and lafayette ave
las,Black,20,1,NA,148,sutter av - rutland rd 3 line
las,Black,35,1,1,100,jefferson st l line station
las,Black,48,1,0,98,hoyt-schermerhorn a c g line
las,Non-Hispanic White,29,1,1,116,morgan ave l station
las,Non-Hispanic White,23,1,0,75,e. 105 st l line
las,Black,21,1,0,114,marcy ave j m z line
las,Hispanic,20,1,0,111,livonia ave l line
las,Non-Hispanic White,23,0,1,66,coney island-stillwell ave
las,NA,18,1,NA,66,coney island-stillwell ave
las,Non-Hispanic White,22,1,1,77,euclid av a subway a subway
las,Black,52,1,0,131,nostrand ave and fulton st a c station
las,Black,39,1,1,112,broadway and lorimer st j m station
las,Black,22,1,0,54,canarsie rockaway pkwy
las,Black,22,0,1,148,sutter av - rutland rd 3 line
las,Black,17,1,NA,101,junius st 3 line
las,Black,39,1,1,52,broadway junction station
las,Black,23,1,1,129,norwood ave j z line
las,Black,50,1,0,99,jay st - metrotech
las,Black,27,1,0,98,hoyt-schermerhorn a c g line
las,Hispanic,20,1,0,88,graham ave l line
las,Black,30,1,0,97,hoyt st 2 3
las,Asian/Pacific Islander,25,1,0,22,86 St and w 7th st n subway
las,Black,38,1,0,57,chauncey st j subway z subway
las,Hispanic,35,1,1,114,marcy ave j m z line
las,Black,20,1,1,147,sutter avenue station l line
las,Black,34,1,0,147,sutter avenue station l line
las,Black,24,0,1,150,utica ave and fulton st
las,Black,49,1,1,108,kosciuszko st j subway
las,Black,26,1,1,25,alabama av j subway
las,Black,18,0,NA,150,utica ave and fulton st
las,Black,21,1,1,54,canarsie rockaway pkwy
las,Black,19,1,NA,58,church ave and nostrand ave
las,Black,21,1,1,111,livonia ave l line
las,NA,24,1,0,66,coney island-stillwell ave
las,Hispanic,22,1,0,66,coney island-stillwell ave
las,Non-Hispanic White,16,1,1,102,kings highway b q line
las,Non-Hispanic White,37,1,1,66,coney island-stillwell ave
las,Hispanic,31,1,1,111,livonia ave l line
las,Non-Hispanic White,32,1,NA,114,marcy ave j m z line
las,Non-Hispanic White,30,0,NA,111,livonia ave l line
las,Hispanic,18,1,1,22,86 St and w 7th st n subway
las,Black,19,1,0,123,nevins st 2 3 4 5 lines
las,Black,16,1,1,111,livonia ave l line
las,Black,42,1,0,85,franklin ave c subway s subway
las,Black,22,1,0,99,jay st - metrotech
las,Black,21,1,0,26,atlantic ave l line
las,Black,29,1,0,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,21,1,0,108,kosciuszko st j subway
las,Black,26,1,0,46,bergen st 2 subway 3 subway
las,Black,17,1,0,110,liberty av c line station
las,Black,16,1,1,110,liberty av c line station
las,Hispanic,20,1,0,99,jay st - metrotech
las,Black,21,0,1,44,bedford ave l station
las,Black,22,1,1,54,canarsie rockaway pkwy
las,Black,25,1,1,66,coney island-stillwell ave
las,Hispanic,18,1,1,97,hoyt st 2 3
las,Black,52,1,0,155,wilson av l subway
las,Hispanic,23,1,0,79,flushing ave g line station
las,Black,49,1,0,76,eastern pkwy-brooklyn museum 2 subway 3 subway
las,Hispanic,28,1,1,5,20th ave and 86th st
las,Hispanic,27,1,1,148,sutter av - rutland rd 3 line
las,Black,29,0,1,148,sutter av - rutland rd 3 line
las,Hispanic,18,1,1,101,junius st 3 line
las,Black,19,1,1,101,junius st 3 line
las,Non-Hispanic White,33,1,0,114,marcy ave j m z line
las,Black,18,0,1,93,halsey street j subway
las,Black,43,1,0,114,marcy ave j m z line
las,Hispanic,18,1,1,99,jay st - metrotech
las,Black,21,1,0,99,jay st - metrotech
las,Non-Hispanic White,19,1,1,99,jay st - metrotech
las,Black,28,0,1,66,coney island-stillwell ave
las,Black,17,1,1,101,junius st 3 line
las,Black,30,1,1,114,marcy ave j m z line
las,Black,19,1,1,131,nostrand ave and fulton st a c station
las,Non-Hispanic White,30,0,0,99,jay st - metrotech
las,Hispanic,23,1,NA,114,marcy ave j m z line
las,Black,37,1,1,66,coney island-stillwell ave
las,Black,20,1,1,66,coney island-stillwell ave
las,Black,18,1,1,99,jay st - metrotech
las,Black,30,1,0,130,nostrand ave 3 line
las,Black,18,1,1,148,sutter av - rutland rd 3 line
las,Black,29,0,1,154,w 8 st - ny aquarium
las,Black,57,1,NA,109,lafayette av c subway
las,Hispanic,19,1,1,66,coney island-stillwell ave
las,Non-Hispanic White,17,1,1,66,coney island-stillwell ave
las,Black,27,0,0,99,jay st - metrotech
las,NA,25,0,0,123,nevins st 2 3 4 5 lines
las,Non-Hispanic White,50,1,0,129,norwood ave j z line
las,Black,29,1,NA,98,hoyt-schermerhorn a c g line
las,Black,22,0,0,140,rockaway ave 3 line
las,Black,34,0,1,96,high street - brooklyn bridge station
las,Black,18,1,1,97,hoyt st 2 3
las,Black,25,1,1,75,e. 105 st l line
las,Black,25,1,NA,75,e. 105 st l line
las,Black,18,1,1,109,lafayette av c subway
las,Black,31,1,1,27,atlantic ave barclays center station
las,Black,49,1,0,54,canarsie rockaway pkwy
las,Black,53,1,0,140,rockaway ave 3 line
las,Non-Hispanic White,38,1,0,99,jay st - metrotech
las,Black,21,1,0,88,graham ave l line
las,Black,19,1,1,70,utica ave and eastern parkway
las,Hispanic,32,1,0,101,junius st 3 line
las,Black,34,1,1,114,marcy ave j m z line
las,Non-Hispanic White,38,1,1,8,25 st r subway
las,Black,31,1,1,69,crescent st j z line
las,Black,58,1,0,97,hoyt st 2 3
las,Black,17,1,1,150,utica ave and fulton st
las,Black,25,1,0,30,avenue j station q line
las,Hispanic,31,1,1,25,alabama av j subway
las,Black,22,1,1,26,atlantic ave l line
las,Black,22,1,1,106,kingston - throop avs
las,Non-Hispanic White,20,1,0,114,marcy ave j m z line
las,Hispanic,18,1,1,69,crescent st j z line
las,Hispanic,21,1,1,114,marcy ave j m z line
las,Black,17,1,1,124,747 new lots ave
las,Black,17,1,1,124,747 new lots ave
las,Non-Hispanic White,56,1,1,66,coney island-stillwell ave
las,Black,20,1,0,148,sutter av - rutland rd 3 line
las,Black,26,1,0,156,winthrop street station 2 5 line
las,Black,18,1,NA,79,flushing ave g line station
las,Hispanic,24,1,1,88,graham ave l line
las,Non-Hispanic White,20,1,1,143,sheepshead bay b q line
las,Non-Hispanic White,18,1,0,87,gates av j subway z subway
las,Black,18,1,1,138,prospect park subway station b q s lines
las,Black,56,0,0,98,hoyt-schermerhorn a c g line
las,Black,29,1,1,26,atlantic ave l line
las,Black,31,1,0,97,hoyt st 2 3
las,Black,25,1,1,72,dekalb ave b q r line
las,Hispanic,35,1,0,97,hoyt st 2 3
las,Black,20,0,0,87,gates av j subway z subway
las,Black,27,0,1,148,sutter av - rutland rd 3 line
las,Hispanic,33,1,0,129,norwood ave j z line
las,Non-Hispanic White,24,0,0,57,chauncey st j subway z subway
las,Black,24,1,1,78,flatbush av-brooklyn college station
las,Black,18,1,1,151,van siclen av 3 line
las,Black,17,1,1,147,sutter avenue station l line
las,Black,17,1,1,147,sutter avenue station l line
las,Black,52,1,0,54,canarsie rockaway pkwy
las,Black,22,1,NA,123,nevins st 2 3 4 5 lines
las,Non-Hispanic White,16,1,1,57,chauncey st j subway z subway
las,Black,42,1,0,70,utica ave and eastern parkway
las,Black,35,1,0,69,crescent st j z line
las,Black,26,1,1,129,norwood ave j z line
las,Black,23,1,0,99,jay st - metrotech
las,Hispanic,19,1,0,114,marcy ave j m z line
las,Black,25,1,NA,69,crescent st j z line
las,Black,31,0,0,69,crescent st j z line
las,Black,22,0,NA,99,jay st - metrotech
las,Black,48,0,0,123,nevins st 2 3 4 5 lines
las,Black,18,1,NA,97,hoyt st 2 3
las,Hispanic,18,1,1,101,junius st 3 line
las,Black,21,0,1,38,bay 50 st d subway
las,Black,24,1,1,66,coney island-stillwell ave
las,Hispanic,27,1,1,45,bedford - nostrand avs g line
las,Black,28,1,0,129,norwood ave j z line
las,Black,38,1,0,123,nevins st 2 3 4 5 lines
las,Hispanic,47,1,1,66,coney island-stillwell ave
las,Black,21,1,1,153,van siclen av j z station
las,Black,24,1,1,148,sutter av - rutland rd 3 line
las,Black,23,1,0,148,sutter av - rutland rd 3 line
las,Black,22,1,1,111,livonia ave l line
las,Black,36,1,1,76,eastern pkwy-brooklyn museum 2 subway 3 subway
las,Black,18,0,1,66,coney island-stillwell ave
las,Black,33,1,1,87,gates av j subway z subway
las,Black,42,1,1,66,coney island-stillwell ave
las,Hispanic,20,1,1,66,coney island-stillwell ave
las,Black,45,1,0,106,kingston - throop avs
las,Hispanic,40,1,0,99,jay st - metrotech
las,Black,18,1,1,47,bergen st f subway g subway
las,Hispanic,22,1,0,114,marcy ave j m z line
las,Black,23,1,NA,9,36 st d subway n subway r subway
las,Black,24,1,0,112,broadway and lorimer st j m station
las,Black,22,1,0,112,broadway and lorimer st j m station
las,Black,22,1,1,97,hoyt st 2 3
las,Black,21,1,1,112,broadway and lorimer st j m station
las,Non-Hispanic White,23,1,0,97,hoyt st 2 3
las,Non-Hispanic White,27,1,0,117,myrtle av and broadway station
las,Black,30,1,0,97,hoyt st 2 3
las,Black,23,1,1,87,gates av j subway z subway
las,Non-Hispanic White,36,1,1,44,bedford ave l station
las,Hispanic,34,1,NA,73,dekalb l station
las,Black,23,1,0,85,franklin ave c subway s subway
las,Asian/Pacific Islander,18,1,1,101,junius st 3 line
las,Hispanic,29,1,1,114,marcy ave j m z line
las,Black,54,1,1,123,nevins st 2 3 4 5 lines
las,Black,22,1,0,124,747 new lots ave
las,Black,50,1,1,106,kingston - throop avs
las,Black,22,1,0,140,rockaway ave 3 line
las,Black,23,1,1,59,church av b subway q subway
las,Non-Hispanic White,49,1,1,123,nevins st 2 3 4 5 lines
las,Black,21,1,0,58,church ave and nostrand ave
las,Black,20,1,0,131,nostrand ave and fulton st a c station
las,Black,24,1,0,97,hoyt st 2 3
las,Black,33,1,0,97,hoyt st 2 3
las,Black,35,1,0,87,gates av j subway z subway
las,Black,20,1,0,97,hoyt st 2 3
las,Black,39,1,0,93,halsey street j subway
las,Black,26,1,0,106,kingston - throop avs
las,Black,25,0,1,123,nevins st 2 3 4 5 lines
las,Non-Hispanic White,33,1,1,147,sutter avenue station l line
las,Black,21,0,1,66,coney island-stillwell ave
las,Black,21,1,NA,102,kings highway b q line
las,Black,46,0,1,26,atlantic ave l line
las,Black,29,1,NA,54,canarsie rockaway pkwy
las,Black,16,0,NA,54,canarsie rockaway pkwy
las,Black,16,1,1,57,chauncey st j subway z subway
las,Black,19,1,1,25,alabama av j subway
las,Black,21,1,NA,129,norwood ave j z line
las,Hispanic,23,1,0,102,kings highway b q line
las,Black,55,1,0,44,bedford ave l station
las,Black,20,1,1,93,halsey street j subway
las,NA,8,1,NA,64,clinton - washington avs station
las,Black,16,1,1,99,jay st - metrotech
las,Black,19,1,NA,131,nostrand ave and fulton st a c station
las,Other,33,1,0,26,atlantic ave l line
las,Black,18,1,1,140,rockaway ave 3 line
las,Black,24,1,0,76,eastern pkwy-brooklyn museum 2 subway 3 subway
las,Black,57,1,0,99,jay st - metrotech
las,Hispanic,30,1,1,79,flushing ave g line station
las,Hispanic,22,1,1,79,flushing ave g line station
las,Hispanic,32,1,0,144,shepherd ave c line
las,Black,21,0,0,151,van siclen av 3 line
las,Hispanic,40,1,0,99,jay st - metrotech
las,Black,32,0,1,45,bedford - nostrand avs g line
las,Non-Hispanic White,49,0,0,69,crescent st j z line
las,Hispanic,37,1,0,26,atlantic ave l line
las,Black,25,1,1,112,broadway and lorimer st j m station
las,Hispanic,19,1,1,101,junius st 3 line
las,NA,18,1,0,69,crescent st j z line
las,Black,30,1,1,57,chauncey st j subway z subway
las,Non-Hispanic White,49,1,0,78,flatbush av-brooklyn college station
las,Black,31,0,NA,123,nevins st 2 3 4 5 lines
las,Black,51,1,0,52,broadway junction station
las,Black,51,1,0,148,sutter av - rutland rd 3 line
las,Hispanic,20,1,0,2,18th av and 85th st
las,Hispanic,25,1,0,131,nostrand ave and fulton st a c station
las,Black,18,1,0,125,new lots ave l line
las,Black,17,1,0,69,crescent st j z line
las,Black,28,1,1,54,canarsie rockaway pkwy
las,Non-Hispanic White,26,1,0,54,canarsie rockaway pkwy
las,Black,22,1,0,131,nostrand ave and fulton st a c station
las,Black,25,1,1,25,alabama av j subway
las,Black,41,1,0,140,rockaway ave 3 line
las,Black,30,1,0,131,nostrand ave and fulton st a c station
las,Black,22,1,NA,106,kingston - throop avs
las,Black,18,1,0,106,kingston - throop avs
las,Black,18,0,NA,140,rockaway ave 3 line
las,Black,23,1,1,45,bedford - nostrand avs g line
las,Black,31,1,1,54,canarsie rockaway pkwy
las,Black,21,1,1,147,sutter avenue station l line
las,Black,58,1,1,150,utica ave and fulton st
las,Non-Hispanic White,48,1,1,99,jay st - metrotech
las,Black,16,1,0,98,hoyt-schermerhorn a c g line
las,Black,42,1,0,111,livonia ave l line
las,Black,23,1,1,118,myrtle - willoughby avs g line
las,Black,28,1,0,118,myrtle - willoughby avs g line
las,Asian/Pacific Islander,23,1,0,114,marcy ave j m z line
las,Black,49,1,1,70,utica ave and eastern parkway
las,Asian/Pacific Islander,31,1,1,114,marcy ave j m z line
las,Non-Hispanic White,20,1,1,91,grant ave a line
las,Hispanic,17,1,NA,97,hoyt st 2 3
las,Black,26,1,1,54,canarsie rockaway pkwy
las,Hispanic,32,1,1,91,grant ave a line
las,Hispanic,32,1,0,70,utica ave and eastern parkway
las,Black,18,1,1,63,cleveland st j subway
las,Black,22,0,1,54,canarsie rockaway pkwy
las,Black,23,1,1,59,church av b subway q subway
las,Black,50,1,0,80,flushing ave j line m line station
las,Black,49,1,1,85,franklin ave c subway s subway
las,Black,39,1,1,38,bay 50 st d subway
las,Black,23,1,0,64,clinton - washington avs station
las,Hispanic,33,1,1,126,new utrecht av n subway/62 st d subway
las,Hispanic,43,1,1,100,jefferson st l line station
las,Black,38,1,1,150,utica ave and fulton st
las,Black,53,1,0,141,rockaway ave c line
las,Black,23,0,1,87,gates av j subway z subway
las,Black,23,1,1,76,eastern pkwy-brooklyn museum 2 subway 3 subway
las,Black,47,0,0,123,nevins st 2 3 4 5 lines
las,Black,29,1,0,140,rockaway ave 3 line
las,Black,22,1,1,101,junius st 3 line
las,Black,16,1,1,70,utica ave and eastern parkway
las,Hispanic,20,1,NA,143,sheepshead bay b q line
las,Hispanic,47,1,0,126,new utrecht av n subway/62 st d subway
las,Hispanic,18,1,1,90,grand st and bushwick ave
las,Non-Hispanic White,63,1,0,54,canarsie rockaway pkwy
las,Black,48,1,0,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Non-Hispanic White,34,1,1,54,canarsie rockaway pkwy
las,Black,49,1,0,131,nostrand ave and fulton st a c station
las,Black,44,1,0,78,flatbush av-brooklyn college station
las,Hispanic,59,0,NA,77,euclid av a subway a subway
las,Black,25,1,1,54,canarsie rockaway pkwy
las,Black,33,1,NA,70,utica ave and eastern parkway
las,Black,17,0,1,135,pennsylvania ave 3 line station
las,Black,22,1,0,101,junius st 3 line
las,Black,37,1,0,148,sutter av - rutland rd 3 line
las,Black,51,1,0,112,broadway and lorimer st j m station
las,Black,22,1,1,94,halsey st and wyckoff ave station
las,NA,31,0,NA,20,79 st d line subway
las,Black,41,0,0,85,franklin ave c subway s subway
las,Black,25,1,1,23,86 street r subway
las,Black,27,1,1,142,saratoga ave 3 line
las,NA,37,1,0,114,marcy ave j m z line
las,Non-Hispanic White,22,1,1,100,jefferson st l line station
las,Black,26,1,0,24,9 ave and new utrecht ave
las,Black,21,1,0,134,parkside av station
las,Black,32,1,0,138,prospect park subway station b q s lines
las,Black,20,1,1,96,high street - brooklyn bridge station
las,Black,28,1,0,106,kingston - throop avs
las,Non-Hispanic White,29,1,1,143,sheepshead bay b q line
las,Hispanic,22,1,0,111,livonia ave l line
las,Black,31,1,0,112,broadway and lorimer st j m station
las,Black,24,1,0,54,canarsie rockaway pkwy
las,Black,36,1,1,148,sutter av - rutland rd 3 line
las,Non-Hispanic White,29,1,1,41,bay parkway n line and 66th st
las,Black,20,1,1,101,junius st 3 line
las,Non-Hispanic White,35,1,1,66,coney island-stillwell ave
las,Black,17,1,1,93,halsey street j subway
las,Black,21,0,1,151,van siclen av 3 line
las,Black,21,1,1,151,van siclen av 3 line
las,Non-Hispanic White,16,1,1,155,wilson av l subway
las,Black,30,1,1,69,crescent st j z line
las,Hispanic,34,1,0,66,coney island-stillwell ave
las,Black,52,1,1,131,nostrand ave and fulton st a c station
las,Black,26,1,NA,79,flushing ave g line station
las,Black,48,1,0,111,livonia ave l line
las,Hispanic,19,1,1,99,jay st - metrotech
las,Black,32,1,NA,77,euclid av a subway a subway
las,Black,22,1,0,140,rockaway ave 3 line
las,Other,19,0,1,93,halsey street j subway
las,Other,16,1,NA,132,ocean pkwy q station
las,Hispanic,23,1,1,44,bedford ave l station
las,Non-Hispanic White,32,1,1,66,coney island-stillwell ave
las,Non-Hispanic White,21,1,1,70,utica ave and eastern parkway
las,Black,52,1,0,88,graham ave l line
las,Black,48,1,0,99,jay st - metrotech
las,Black,18,1,1,99,jay st - metrotech
las,Black,31,1,1,54,canarsie rockaway pkwy
las,Black,18,1,1,150,utica ave and fulton st
las,Black,22,0,1,118,myrtle - willoughby avs g line
las,Black,18,0,1,140,rockaway ave 3 line
las,Black,22,1,0,27,atlantic ave barclays center station
las,Non-Hispanic White,18,1,1,20,79 st d line subway
las,Black,23,1,0,45,bedford - nostrand avs g line
las,Black,55,1,0,111,livonia ave l line
las,Hispanic,52,1,1,112,broadway and lorimer st j m station
las,Black,24,1,1,140,rockaway ave 3 line
las,Black,53,1,1,84,franklin ave and eastern parkway
las,Non-Hispanic White,37,1,0,145,smith-9 sts f subway g subway
las,Black,19,1,0,38,bay 50 st d subway
las,Black,20,1,0,114,marcy ave j m z line
las,Black,39,1,0,141,rockaway ave c line
las,Non-Hispanic White,28,1,NA,138,prospect park subway station b q s lines
las,Black,38,1,0,64,clinton - washington avs station
las,Non-Hispanic White,22,1,0,112,broadway and lorimer st j m station
las,NA,17,1,1,150,utica ave and fulton st
las,Black,53,1,0,141,rockaway ave c line
las,Black,56,1,0,109,lafayette av c subway
las,Black,31,1,NA,143,sheepshead bay b q line
las,Non-Hispanic White,18,0,NA,147,sutter avenue station l line
las,Black,18,0,1,140,rockaway ave 3 line
las,NA,18,0,1,66,coney island-stillwell ave
las,Black,26,0,NA,100,jefferson st l line station
las,Black,53,1,1,66,coney island-stillwell ave
las,Black,51,0,1,147,sutter avenue station l line
las,Hispanic,52,1,0,140,rockaway ave 3 line
las,Black,23,1,0,123,nevins st 2 3 4 5 lines
las,Black,22,1,1,112,broadway and lorimer st j m station
las,Black,17,1,1,140,rockaway ave 3 line
las,Black,29,1,1,27,atlantic ave barclays center station
las,Black,22,1,1,140,rockaway ave 3 line
las,Hispanic,29,1,0,150,utica ave and fulton st
las,Black,17,1,0,63,cleveland st j subway
las,Black,40,1,0,106,kingston - throop avs
las,Non-Hispanic White,45,1,0,80,flushing ave j line m line station
las,Black,19,1,NA,7,25th av d line subway
las,Black,24,1,0,131,nostrand ave and fulton st a c station
las,Black,20,1,1,141,rockaway ave c line
las,Black,23,1,0,26,atlantic ave l line
las,Hispanic,28,1,1,114,marcy ave j m z line
las,Black,23,1,1,152,van siclen av a c station
las,Black,23,1,1,44,bedford ave l station
las,Black,33,1,NA,119,myrtle - wyckoff avs station
las,Black,29,1,1,44,bedford ave l station
las,NA,19,1,1,119,myrtle - wyckoff avs station
las,Black,19,1,1,52,broadway junction station
las,Non-Hispanic White,35,1,0,98,hoyt-schermerhorn a c g line
las,NA,22,1,1,70,utica ave and eastern parkway
las,NA,19,1,1,99,jay st - metrotech
las,NA,29,1,0,143,sheepshead bay b q line
las,Black,24,1,0,98,hoyt-schermerhorn a c g line
